,spends
Social_FB_ProspectiveQLE_AA_Prospecting_Weber,297610.9678
Social_FB_ProspectiveQLE_GM_Prospecting_Weber,1172488.746
Social_FB_ProspectiveQLE_GM_Retargeting_Weber,806110.1397
Social_FB_QLE_JobHunting_GM_Prospecting_Weber,521187.9342
Social_FB_QLE_Moving_GM_Prospecting_Weber,495152.4572
Social_FB_QLE_NewParents_GM_Prospecting_Weber,153320.3984
Social_FB_QLE_Newlywed_GM_Prospecting_Weber,154761.1833
Social_FB_QLE_Turning26_GM_Prospecting_Weber,158146.7641
Social_IG_QLE_Moving_GM_Prospecting_Weber,47149.54727
Radio_Local_GM_Weber,824115.6836
OnlineVideo_MiQ_under150percFPL_Expansion_GM_Prospecting_Weber,699747.9857
OnlineVideo_MiQ_under150percFPL_Non.Expansion_GM_Prospecting_Weber,749773.328
OnlineVideo_YouTube_QLE_JobHunting_GM_Prospecting_Weber,361429.8541
OnlineVideo_YouTube_QLE_Moving_GM_Prospecting_Weber,448274.9315
OnlineVideo_YouTube_QLE_NewParents_GM_Prospecting_Weber,448084.0175
OnlineVideo_YouTube_QLE_Newlywed_GM_Prospecting_Weber,448056.8844
Search_Google.Brand_FFM_GM_Weber,5067122.91
Search_Google.Nonbrand_FFM_GM_Weber,4034207.04
Search_Microsoft.Brand_FFM_GM_Weber,2140796.215
Search_Microsoft.Nonbrand_FFM_GM_Weber,28444.51815
OTT_Amazon_ProspectiveQLE_AA_Weber,0
OTT_Amazon_ProspectiveQLE_GM_Weber,176123.6689
OTT_Hulu_ProspectiveQLE_AA_Weber,269875.5204
OTT_Hulu_ProspectiveQLE_GM_Weber,649863.1513
OTT_Roku_ProspectiveQLE_AA_Weber,274570.9706
OTT_Roku_ProspectiveQLE_GM_Weber,799991.4236
Display_Google_ProspectiveQLE_AA_Prospecting_Weber,949524.3502
Display_Google_ProspectiveQLE_GM_Prospecting_Weber,1306562.101
Display_Google_ProspectiveQLE_GM_Retargeting_Weber,869640.8499
Display_Google_QLE_JobHunting_GM_Prospecting_Weber,530409.1229
Display_Google_QLE_Moving_GM_Prospecting_Weber,529492.8672
Display_Google_QLE_NewParents_GM_Prospecting_Weber,372150.0237
Display_Google_QLE_Newlywed_GM_Prospecting_Weber,372283.1807
Display_MiQ_under150percFPL_Expansion_GM_Prospecting_Weber,194839.4697
Display_MiQ_under150percFPL_Non.Expansion_GM_Prospecting_Weber,888057.423
OnlineVideo_YouTube_ProspectiveQLE_AA_Prospecting_Weber,497677.1018
OnlineVideo_YouTube_ProspectiveQLE_GM_Prospecting_Weber,1805993.547
Social_FB_under150percFPL_Expansion_GM_Prospecting_Weber,792887.3595
Social_FB_under150percFPL_Non.Expansion_GM_Prospecting_Weber,677631.3075
Social_IG_ProspectiveQLE_AA_Prospecting_Weber,64747.02447
Social_IG_ProspectiveQLE_GM_Prospecting_Weber,248131.4783
Social_IG_ProspectiveQLE_GM_Retargeting_Weber,178521.1182
Social_IG_QLE_JobHunting_GM_Prospecting_Weber,41507.71995
Social_IG_QLE_NewParents_GM_Prospecting_Weber,39855.4829
Social_IG_QLE_Newlywed_GM_Prospecting_Weber,43333.94809
Social_IG_QLE_Turning26_GM_Prospecting_Weber,47033.89247
Social_IG_under150percFPL_Expansion_GM_Prospecting_Weber,114242.1146
Social_IG_under150percFPL_Non.Expansion_GM_Prospecting_Weber,147193.3528
TV_GM,2401401.314
